e-flyer;ISBN;last name of 1st author;authors without affiliation;title;subtitle;series;edition;copyright year;pages arabic;cover;medium type;bibliography;MRW;no. of volumes;price status EUR net;EUR net;EUR gross (D);EUR gross (A);GBP net;CHF gross;pre-pub EUR net;pre-pub EUR gross (D);pre-pub EUR gross (A);pre-pub EUR valid until;pre-pub GBP net;pre-pub CHF gross;language;main subject;subject 1;bic code 1;subject 2;bic code 2;bookstore location;SN No.;SN status;product category;publisher;availability status;release date;distribution rights;table of contents short;information text;USP international;EAN Code;publication class
;978-0-387-75713-1;Gao;"David Y. Gao; Hanif D. Sherali (Eds.)";Advances in Applied Mathematics and Global Optimization;In Honor of Gilbert Strang;Advances in Mechanics and Mathematics  Vol. 17;;2009;520;Hardcover;Book;XXVII, 520 p. 112 illus.;;;final;114,95;123;126,45;104,5;191;;;;;;;English;Mathematics;"M26016 Calculus of Variations and Optimal Control; Optimization";PBKQ;T17004 Mechanical Engineering;TGB;Mathematics;Jan 09;Title advertised in News;Contributed volume;Springer-Verlag US;Available;13.03.2009;;Constrained Optimism.- Biographical Summary of Professor Gilbert Strang.- List of Publications of Professor Gilbert Strang.- 1 Maximum Flows and Minimum Cuts in the Plane.- 2 Variational Principles and Residual Bounds for Non-Potential Equations.- 3 Adaptive Finite Element Solution of Variational Inequalities with Applications in Contact Problems.- 4 Time-Frquency Analysis of Brain Neuro-Dynamics.- 5 Nonconvex Optimization in Communication Systems.- 6 Multilevel (Hierarchical) Optimization: Complexity Issues, Optimality Conditions, Algorithms.- 7 Central Path Curvature and Iteration-Complexity for Redundant Klee-Minty Cubes.- 8 Canonical Duality Theory: Connections Between Nonconvex Mechanics and Global Optimization.- 9 Quantum Computation and Quantum Operations.- 10 Ekeland Duality as a Paradigm.- 11 Global Optimization in Practice: State-of-Art and Perspectives.- 12 Two-Stage Stochastic Mixed-Integer Programs: Algorithms and Insights.- 13 Dualistic Reimannian Manifold Structure Induced From Convex Functions.- 14 NMR Quantum Computing.;"<P>The articles that comprise this distinguished annual volume for the <EM>Advances in Mechanics and Mathematics</EM> series have been written in honor of Gilbert Strang, a world renowned mathematician and exceptional person. Written by leading experts in complementarity, duality, global optimization, and quantum computations, this collection reveals the beauty of these mathematical disciplines and investigates recent developments in global optimization, nonconvex and nonsmooth analysis, nonlinear programming, theoretical and engineering mechanics, large scale computation, quantum algorithms and computation, and information theory.</P> <P>Much of the material, including the various methodologies, is written for nonexperts and is intended to stimulate graduate students and young faculty to venture into this rich domain of research; it will also benefit researchers and practitioners in several areas of applied mathematics, mechanics, and engineering.</P>";<P>Contributors are renowned scientists in the field</P> <P>Contributions represent a full range of topics enveloping complementarity, duality, and global optimization</P> <P>Each article is followed by an extensive list of references</P>;9<HTLDTH=hfhbdb>;Science
;978-3-540-95977-9;Gen;"Mitsuo Gen; David Green; Osamu Katai; Bob McKay; Akira Namatame; Ruhul A. Sarker; Byoung-Tak Zhang (Eds.)";Intelligent and Evolutionary Systems;;Studies in Computational Intelligence  Vol. 187;;2009;218;Hardcover;Book;X, 218 p. 86 illus.;;;final;99,95;106,95;109,95;90;166;;;;;;;English;Engineering;T11014 Computational Intelligence;TBC;I21017 Artificial Intelligence (incl. Robotics);UXC;Engineering;Feb 09;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;13.03.2009;;<P>Index Fund Optimization Using Genetic Algorithm and Scatter Diagram Based on Coefficients of Determination.- Mining Bayesian Networks from Direct Marketing Databases with Missing Values.- Fuzzy Local Currency based on Social Network Analysis for Promoting Community Businesses.- Evolving Failure Resilience in Scale-Free Networks .- Evolving Networks with Enhanced Linear Stability Properties.- Effectiveness of Close-loop Congestion Controls for DDoS Attacks.- Priority-based Genetic Algorithm for Shortest Path Routing Problem in OSPF.- Evolutionary Network Design by Multiobjective Hybrid Genetic Algorithm.- Hybrid Genetic Algorithm for Designing Logistics Network, VRP and AGV Problems.- Multiobjective Genetic Algorithm for Bicriteria Network Design Problems.- Use of Serendipity Power for Discoveries and Inventions.- Evolution of Retinal Blood Vessel Segmentation Methodology using Wavelet Transforms for Assessment of Diabetic Retinopathy.- Multistage-based Genetic Algorithm for Flexible Job-shop Scheduling Problems.- Implementation of Parallel Genetic Algorithms on Graphics Processing Units.</P>;<P>Artificial evolutionary systems are computer systems, inspired by ideas from natural evolution and related phenomena. The field has a long history, dating back to the earliest days of computer science, but it has only become an established scientific and engineering discipline since the 1990s, with packages for the commonest form, genetic algorithms, now widely available.</P> <P>Researchers in the Asia-Pacific region have participated strongly in the development of evolutionary systems, with a particular emphasis on the evolution of intelligent solutions to highly complex problems. The Asia-Pacific Symposia on Intelligent and Evolutionary Systems have been an important contributor to this growth in impact, since 1997 providing an annual forum for exchange and dissemination of ideas. Participants come primarily from East Asia and the Western Pacific, but contributions are welcomed from around the World.</P> <P>This volume features a selection of fourteen of the best papers from recent APSIES. They illustrate the breadth of research in the region, with applications ranging from business to medicine, from network optimization to the promotion of innovation.</P>;<P>highly unique and relevant book illustrating the breadth of research in intelligent and evolutionary systems, with applications ranging from business to medicine, from network optimization to the promotion of innovation.</P> <P></P> <P>Features fourteen of the best papers from recent Asia-Pacific Symposia on Intelligent and Evolutionary Systems</P>;9<HTOFPA=jfjhhj>;Science
X;978-0-387-09719-0;Grofman;"Bernard Grofman; André Blais; Shaun Bowler (Eds.)";Duverger's Law of Plurality Voting;The Logic of Party Competition in Canada, India, the United Kingdom and the United States;Studies in Public Choice  Vol. 13;;2009;168;Hardcover;Book;VIII, 168 p. 28 illus.;;;final;69,95;74,85;76,95;64,99;116,5;;;;;;;English;Social Sciences;X18000 Political Science;JPA;E37000 Political Philosophy;HPGP;Business / Economics;Apr 09;Title advertised in News;Monograph;Springer-Verlag New York;Available;13.03.2009;;Introduction.- Part I. Voting Strategically in Canada and Britain.- Neither Representative Nor Accountable.- Strategic Voting in the United States.- Seats to Votes Ratios in the United States.- Part II. Canada.- Party Inflation in India.- The Puzzle of Non-Duvergerian Equilibria in the United Kingdom.- Duverger’s Law in the United States.;"<P>Maurice Duverger is arguably the most distinguished French political scientist of the last century, but his major impact has, strangely enough, been largely in the English-speaking world. His book, Political Parties, first translated into English in 1954, has been very influential in both the party politics literature (which continues to make use of his typology of party organization) and in the electoral systems literature. His chief contributions there deal with what have come to be called in his honor Duverger’s Law and Duverger’s Hypothesis. The first argues that countries with plurality-based electoral methods will tend to become two-party systems; the second argues that countries using proportional representation (PR) methods will tend to become multi-party systems. Duverger also identifies specific mechanisms that will produce these effects, conventionally referred to as “mechanical effects”, and “psychological effects”. However, while Duverger’s Hypothesis concerning the link between PR and multipartism is now widely accepted; the empirical evidence that plurality voting results in two-party systems is remarkably weak—with the U.S. the most notable exception.</P> <P>The chapters in this volume consider national-level evidence for the operation of Duverger’s law in the world’s largest, longest-lived and most successful democracies of Britain, Canada, India and the United States. One set of papers involves looking at the overall evidence for Duverger’s Law in these countries; the other set deals with evidence for the mechanical and incentive effects predicted by Duverger. The result is an incisive analysis of electoral and party dynamics.</P>";<P>International coverage of the four major examples of plurality voting: U.S., U.K., Canada, India</P> <P>Rigorous comparative analysis, with emphasis on both theoretical and practical implications</P> <P>Prolific editors and expert contributors, well-known to the academic/research communities</P>;9<HTLDTH=ajhbja>;Science
;978-0-387-87498-2;Henneaux;"Marc Henneaux; Jorge Zanelli (Eds.)";Quantum Mechanics of Fundamental Systems: The Quest for Beauty and Simplicity;Claudio Bunster Festschrift;;;2009;310;Hardcover;Book;VI, 310 p. 10 illus.;;;final;149,95;160,45;164,95;136,5;249;;;;;;;English;Physics;P13007 Quantum Physics ;PHT;P23029 Elementary Particles, Quantum Field Theory ;PHTR;Physics/Astronomy;Feb 09;Title advertised in News;Proceedings;Springer-Verlag New York;Available;13.03.2009;;Introduction, contributed papers, greetings from abroad. Contributed papers include- black hole entropy and the problem of universality, why does the universe inflate, quantum mechanics on supermanifolds and John A. Wheeler's Quest for Beauty and Simplicity.;"<P>This is a collection of contributed papers by former collaborators and colleagues of Claudio Bunster (formerly Teitelboim). The topics include General Relativity, Quantum Gravity, String Theory; from historical reviews to current research; from mathematical structures underlying the fundamental interactions, to cosmological scenarios describing the universe at its birth. Each contribution covers a topic in a self-contained manner, including all the references and illustrations to make it easy to read separately. The volume covers a number of important topics in theoretical physics of the last 30 years. Many of the seeds of string theory like supergravity, the AdS/CFT correspondence, p-form fields, electric-magnetic dualities, were discovered first in the context of gravitation by Bunster and his collaborators. This volume is rooted in this tradition and makes it an interesting source for theoretical physicists engaged in current research.</P>";<P>Each contribution covers a topic in a self-contained manner, including all the references and illustrations, making each easy to read separately</P> <P>The book covers a number of important topics in theoretical physics over the last thirty years, including those first discovered by Claudio Bunster and his collaborators</P> <P>Leading experts contribute a variety of articles from historical essays to research</P>;9<HTLDTH=ihejic>;Science
X;978-3-7643-9895-8;Israel;"Giorgio Israel; Ana Millán Gasca";The World as a Mathematical Game;John von Neumann and Twentieth Century Science;Science Networks. Historical Studies  Vol. 38;;2009;207;Hardcover;Book;XII, 207 p.;;;final;89,9;96,19;98,89;81,5;159;;;;;;;English;Science, general;A12000 History of Science;PDX;M23009 History of Mathematics;PBX;General Science;Nov 08;Title advertised in News;Monograph;Birkhäuser Basel;Available;13.03.2009;;<P>From the contents</P> <P>Introduction.- János Neumann's Early Years.- Von Neumann and the Mathematics of Göttingen.- A Mathematician between Past and Future.- Von Neumann in the United States.- Beyond Mathematics: von Neumann's Scientific Activity in the 1940s and 1950s.- Concluding Remarks: von Neumann and Twentieth Century Science.- Chronology.- Bibliography.- Index of Names. </P>;"<P>Galileo and Newton’s work towards the mathematisation of the physical world; Leibniz’s universal logical calculus; the Enlightenment’s mathématique sociale. John von Neumann inherited all these aims and philosophical intuitions, together with an idea that grew up around the Vienna Circle of an ethics in the form of an exact science capable of guiding individuals to make correct decisions. With the help of his boundless mathematical capacity, von Neumann developed a conception of the world as a mathematical game, a world globally governed by a universal logic in which individual consciousness moved following different strategies: his vision guided him from set theory to quantum mechanics, to economics and to his theory of automata (anticipating artificial intelligence and cognitive science). This book provides the first comprehensive scientific and intellectual biography of John von Neumann, a man who perhaps more than any other is representative of twentieth century science.</P> <P> </P>";;9<HTOHRE=djijfi>;Science
;978-3-540-89970-9;Ivancevic;"Tijana T. Ivancevic; Bojan Jovanovic; Swetta Djukic; Milorad Djukic; Sasa Markovic";Complex Sports Biodynamics;With Practical Applications in Tennis;Cognitive Systems Monographs  Vol. 2;;2009;326;Hardcover;Book;XII, 326 p. 64 illus.;;;final;99,95;106,95;109,95;90;166;;;;;;;English;Engineering;T2700X Biomedical Engineering;MQW;P27008 Biophysics/Biomedical Physics;PHVN;Engineering;Jan 09;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;13.03.2009;;<P>Introduction.- CSB-Physics and Metaphysics.- CSB-Structure and Function.- CSB-Biomechanics: Structure and Function of Human.- CSB-System.- CSB-Synergetics: Escape from Chaos.- CSB-Subsystems: Energy and Information Flows.- Neuro-CSB: Artificial Neural Networks.- CSB-Intelligence.- Smart CSB-Agents for Games Modelling.- Psycho-CSB: Mental Concentration in Sport.- Tennis Champion of the Future.</P>;"<P>What are motor abilities of Olympic champions? What are essential cognitive characteristics of Mark Spitz, Carl Lewis and Roger Federer? What are the secrets of selection for the future Olympic champions? Does for every sport exist a unique model of an Olympic champion? 'Complex Sports Biodynamics' gives modern scientific answers to the above questions. Its purpose is to give you the answer to everything you ever wanted to ask about sport champions and advanced tennis in particular. It dispels classical myths of a 'biomechanically sound' serve, forehand, and backhand, and describes and explains the physical and mental abilities of a champion in future tennis with full appreciation to the long-time world number one, Roger Federer. Regarding the future tennis champion model outlined in this book, the Federer–model will be taken as a basis. This book includes 12 chapters on various topics related to complex sports biodynamics, a strong list of references on sports science in general and tennis in particular, as well as a comprehensive index. To make the book more readable for the widest possible audience, the last Chapter on tennis has been written in a popular (non-rigorous) question &amp; answer format.</P>";"<P>What are motor abilities of Olympic champions? What are essential characteristics of Mark Spitz, Carl Lewis and Roger Federer?</P> <P>Introductiory book to complex sports biodynamics, sports science in general and tennis in particular</P> <P>Gives answers to all thinkable questions on sport champions and advanced tennis in particular.</P> <P>the last Chapter on tennis has been written in a popular (non-rigorous) question &amp; answer format.</P>";9<HTOFPA=ijjhaj>;Science
X;978-0-387-79475-4;Kalichman;Seth C. Kalichman;Denying AIDS;Conspiracy Theories, Pseudoscience, and Human Tragedy;;;2009;205;Hardcover;Book;XXIII, 205 p. 23 illus. in color.;;;final;25;26,75;27,5;13,99;41,5;;;;;;;English;Popular Science;Q14008 Popular Science in Medicine and Health;VFD;H27002 Public Health/Gesundheitswesen;MBN;Medicine, Public Health;Nov 08;Title advertised in News;Popular science;Springer-Verlag New York;Available;13.03.2009;;<P>1 HIV/AIDS Denialism is alive and well.- 2 Peter Duesberg and the Origins of HIV/AIDS Denialism.- 3 AIDS Pseudoscience.- 4 Antics and Tactics of HIV/AIDS Denialism.- 5 Politics of HIV/AIDS Denialism.- 6 Getting Out of Denial.</P>;<P>Paralleling the discovery of HIV and the rise of the AIDS pandemic, a flock of naysayers has dedicated itself to replacing genuine knowledge with destructive misinformation—and spreading from the fringe to the mainstream media and the think tank. Now from the editor of the journal <EM>AIDS and Behavior</EM> comes a bold exposé of the scientific and sociopolitical forces involved in this toxic evasion. <EM>Denying AIDS</EM> traces the origins of AIDS dissidents disclaimers during the earliest days of the epidemic and delves into the psychology and politics of the current denial movement in its various incarnations.</P> <P>Seth Kalichman focuses not on the “difficult” or doubting patient, but on organized, widespread forms of denial (including the idea that HIV itself is a myth and HIV treatments are poison) and the junk science, faulty logic, conspiracy theories, and larger forces of homophobia and racism that fuel them. The malignant results of AIDS denial can be seen in those individuals who refuse to be tested, ignore their diagnoses, or reject the treatments that could save their lives. Instead of ignoring these currents, asserts Kalichman, science has a duty to counter them.</P> <P>Among the topics covered: </P> <UL> <P> <LI>Why AIDS denialism endures, and why science must understand it.</LI> <P></P> <P> <LI>Pioneer virus HIV researcher Peter Duesberg’s role in AIDS denialism.</LI> <P></P> <P> <LI>Flawed immunological, virological, and pharmacological pseudoscience studies that are central to texts of denialism.</LI> <P></P> <P> <LI>The social conservative agenda and the politics of AIDS denial, from the courts to the White House.</LI> <P> <LI>The impact of HIV misinformation on public health in South Africa.</LI> <P></P> <P> <LI>Fighting fiction with reality: anti-denialism and the scientific community.</LI> <P></P></UL> <P></P> <P>For anyone affected by, interested in, or working with researchers in HIV/AIDS, and public health professionals in general, the insight and vision of <EM>Denying AIDS</EM> will inspire outrage, discussion, and ultimately action.</P> <P>See http://denyingaids.blogspot.com/ for more information.</P>;<P>Written by Seth C. Kalichman, editor of <STRONG>AIDS and Behavior, </STRONG>a Clinical-Community Psychologist and a Professor of Social Psychology at the University of Connecticut</P> <P>All royalties will support the purchase of antiretroviral medications for people living with HIV/AIDS in Africa: <U>http://www.shallwego.net/ftf/index.htm</U>.</P>;9<HTLDTH=hjehfe>;Trade
X;978-3-540-92258-2;Klocke;Fritz Klocke;Manufacturing Processes 2;Grinding, Honing, Lapping;RWTHedition  ;;2009;433;Hardcover;Book;XXIV, 433 p. 35 illus.;;;final;99,95;106,95;109,95;90;166;;;;;;;English;Engineering;T22040 Operating Procedures, Materials Treatment;TGP;Z17000 Characterization and Evaluation of Materials;TGMT;Materials Science, Materials Science / Engineering;Jan 09;Title advertised in News;Monograph;Springer-Verlag Berlin Heidelberg;Available;13.03.2009;;<P>Symbols and Abbreviations.- Introduction.- Principles of Cutting Edge Engagement.- Structure and Composition of Grinding Wheels.- The Machinability of Various Materials.- Cooling Lubricants.- Grinding.- Honing.- Lapping and Polishing.- Special Methods.- Process Monitoring.- Literature.- Index.</P>;<P>The book series on manufacturing processes for engineers by Klocke is a reference for scientific and industrial experts. The compendium presents an overall picture of the most common machining and non-machining manufacturing processes.</P> <P>This volume on Grinding, Honing and Lapping starts from the basics of cutting edge engagement during grinding including chip formation, forces involved and energy distribution, as well as the wear of grinding grits. The characteristics of abrasive tools, their design and manufacturing are described, followed by the fundamentals of grinding fluids. Grinding of different materials (steel, cast iron, hard and brittle materials, nickel and titanium) is treated in-depth. Different grinding processes and their kinematic characteristics are then presented in detail. The parameters of different grinding procedures, references to process implementations as well as typical industrial applications are likewise specified. Besides honing and lapping, practical insights into polishing are provided. Special abrasive processes are presented including ultrasound assisted grinding and cutting with geometrically undefined cutting edges. Finally, monitoring systems for process control are discussed considering their increasing relevance and application in industrial manufacturing.</P> <P>The book is a comprehensive treatment of abrasive processes. It appears in the RWTH Edition Series as part of a 4 volume reference work.</P>;<P>Describes theory and the practice for major variants of the procedures with examples on technology</P> <P>Important reference work</P>;9<HTOFPA=jccfic>;Professional
X;978-1-84800-353-8;Kordi;"Ramin Kordi; Nicola Maffulli; Randall R Wroble; W. Angus Wallace (Eds.)";Combat Sports Medicine;;;;2009;325;Hardcover;Book;XVI, 325 p. 43 illus., 15 in color.;;;final;109,95;117,65;120,95;92;182,5;;;;;;;English;Medicine & Public Health;H58005 Sports Medicine;MMS;H45000 Orthopedics ;MNS;Medicine, Orthopedics, Surgical Orthopedics & Sports Medicine;Aug 08;Title advertised in News;Handbook;Springer-Verlag London;Available;13.03.2009;;<P><STRONG>I General Topics:</STRONG> 1 Safety and Risk of Combat Sports.- 2 Pre-participation Physical Evaluation.- 3 Protect Equipment.- 4 Doping.- 5 Head Injury.- 6 Blood Borne Infections.- 7 Skin Infections.- 8 Nutrition.- 9 Making Weight and Cutting Weight.- 10 Sports Psychology.- 11 Women.- 12 Children Athletes.- 13 Senior Athletes.- 14 Professional Athlete.- <STRONG>II Combat Sports:</STRONG> 15 Boxing.- 16 Wrestling.- 17 Judo.- 18 Taekwondo.- 19 Karate.- 20 Wushu.- 21 Mixed Martial Arts.- 22 Kickboxing.</P>;<P>This book is designed to review all aspects of the science of modern combat sports and provide a reference to physicians who encounter these patients in their practice. The scope of this title is broad and includes study of the psychology, nutrition, biomechanics and injuries (including head trauma, orthopedic, dermatologic).</P> <P>Moreover the authors will provide extensive details about assessment of athletes prior to participation, preventing injury and rehabilitating injured athletes.</P> <P>This text is designed as a practical reference resource and will be of interest to sports medicine physicians, orthopedic specialists, emergency medicine physicians, intensivists and neurologists.</P>;<P>Only reference work in this area of sports medicine</P> <P>Extensive coverage of likely medical results of combat sport</P>;9<HTMIPI=aadfdi>;Professional
;978-1-934115-02-2;Krawetz;Stephen Krawetz (Ed.);Bioinformatics for Systems Biology;;;2nd ed.;2009;740;Hardcover;Book;X, 740 p. 196 illus., 6 in color.;;;final;92,95;99,46;102,25;80;154,5;;;;;;;English;Life Sciences;L15001 Bioinformatics;PSA;;;Life Sciences;Jun 08;Title advertised in News;Contributed volume;Humana Press;Available;13.03.2009;;<P>Life of a Cell and its Analysis: Structure and Function of the Nucleus and Cell Organelles.- Transcription and the Control of Gene Expression.- RNA Processing and Translation.- DNA Replication, Recombination, and Repair.- Cell signalling.- Epigenetics of Spermiogenesis: combining in silico and proteomic approaches in the mouse model.- Genomic Tools for Analyzing Transcriptional Regulatory Networks.- Statistical Tools and Their Application: Probability and Hypothesis Testing.- Stochastic Models for Biological Patterns.- Population Genetics.- Statistical tools for gene expression analysis and system biology and related web resources.- Transcriptome Analysis: What goes in is what comes out: How to design and implement a successful microarray experiment.- Tools and Approaches for an End-to-End Expression Array Analysis.- Analysis of alternative splicing with microarrays.- Structural and Functional Sequence Analysis: An Introduction to Multiple Sequence Alignment — and the T-Coffee Shop. Beyond just aligning sequences: how good can you make your alignment, and so what?- A spectrum of phylogenetic-based approaches for predicting protein functional sites.- The role of Transcription Factor Binding Sites in Promoters and Their In Silico Detection.- In silico Discovery of DNA Regulatory Sites and Modules.- Literature Mining for Association and Meaning: Mining the Research Literature in Systems Biology.-GoPubMed: Exploring PubMed with Ontological Background Knowledge.- BiblioSphere - Hypothesis Generation in Regulatory Network Analysis.- Biological Knowledge Extraction.- Genomic Databases: Using KEGG in the Transition from Genomics to Chemical Genomics.- Ensemble: Open-Source Software for Large-Scale Genome Analysis.- Management of spatially organised biological data using EMAGE.- Equality of the sexes? Parent-of-origin effects on transcription and de novo mutations.- Biological Networks: Methods for Structural Inference and Functional Module Identification in Intracellular Networks.- Methods for Dynamical Inference in Intracellular Networks.- ASIAN: Network Inference Web Server.- Bridging the Gap: Bioinformatics for Metabolomics.- Virtual Reality Meets Functional Genomics.- Systems Biology of Personalized Medicine.</P>;<P>The biological sciences are now in the midst of a true life sciences revolution akin to what physics experienced just after the turn of the last century. We are now in a phase of unparalleled growth that is reflected by the amount of data generated from each experiment. At the time of this writing, the rate of data acquisition was approaching 2 terabytes over the course of 5 days with first pass analysis proceeding over the following 2-3 week period. This fundamental shift has provided unprecedented opportunities that for the first time afford us the ability, i.e., means, breadth, and depth of data, to truly address human biology at the systems level. This wealth of information from seemingly disparate datasets and its integration is being realized through bioinformatics. It is with this philosophy that the text Bioinformatics for Systems Biology was born. This revolution has spawned true personalized medicine that encompasses diagnostics and treatment through to cure. </P> <P>For the physical and computer scientist, this text provides an introduction to the basic biological principles governing a cell. This quickly moves from the fundamentals to exploring the underlying genetic processes. While providing a rudimentary and necessary overview for the life scientist, the physical and computer scientist will be apprised of various nuances within the field reflecting the reality of “wet-bench” science. For those in the life sciences, it is rapidly becoming appreciated that we are progressing from examining our favorite “pet” gene to the system. Statistics is now an essential component to understand the vast datasets and this is emphasized throughout the text. </P> <P>The majority of the text is devoted to the common ground that these groups share. It provides rich examples of tools, databases, and strategies to mine the databases to reveal novel insights. A host of examples of parsing the data into a series of overlays that use various presentation systems are reviewed. The goal is to provide a representation most comfortable to the user to enable the user to thoroughly explore the data. The text concludes with examples of how the systems information is used to inform personalized medicine in a true “bench to bedside” manner.</P> <P>Bioinformatics for Systems Biology bridges and unifies many disciplines. It presents the life scientist, computational biologist, and mathematician with a common framework. Only by linking the groups together may the true life sciences revolution move forward in the mostly uncharted and emerging field of Systems Biology.</P>;;9<HTMJOE=bbfacc>;Science
;978-88-470-1158-8;Landi Degl'Innocenti;Egidio Landi Degl'Innocenti;Spettroscopia atomica e processi radiativi;;UNITEXT   ;;2009;494;Brossura;Volume;XII, 494 pagg.;;;final;28,85;30,87;31,74;25,99;48;;;;;;;Italian;Fisica;P22022 Astrophysics ;PHVB;P24017 Atomic and Molecular Structure and Spectra;PHM;Fisica;Feb 09;Title advertised in News;Libro di testo avanzato;Springer-Verlag Milan;Available;13.03.2009;;;<P>Il volume si propone lo scopo di fornire al lettore i concetti fisici fondamentali che stanno alla base della spettroscopia atomica e dei processi di emissione e assorbimento della radiazione nei plasmi di laboratorio e astrofisici, coprendo argomenti fondamentali quali gli spettri atomici di atomi a uno o più elettroni, la quantizzazione del campo elettromagnetico, l'interazione fra materia e radiazione (trattata sia dal punto di vista classico che quantistico), le transizioni radiative, i fenomeni di equilibrio e non-equilibrio nei plasmi, la teoria del trasporto radiativo, l'emissione della radiazione di ciclotrone, di sincrotrone e di frenamento, e la diffusione Compton relativistica (trattata col formalismo della seconda quantizzazione). E' un testo ideale per un insegnamento monografico semestrale, annuale o biennale in un Corso di Laurea Specialistica o in una Scuola di Dottorato, e una buona base di riferimento per ricercatori attivi in varie discipline quali la Fisica Atomica, la Spettroscopia Ottica e UV, l'Astrofisica e la Fisica dello Spazio.</P>;;9<HTTIPH=abbfii>;Libro di testo
X;978-0-387-09516-5;Meyer;Jürgen Meyer;Acoustics and the Performance of Music;Manual for Acousticians, Audio Engineers, Musicians, Architects and Musical Instrument Makers;Modern Acoustics and Signal Processing  ;5th ed.;2009;438;Hardcover;Book;XIV, 438 p. 238 illus.;;;final;54,95;58,8;60,45;49,99;91,5;;;;;;;English;Physics;P21069 Acoustics ;P21069;T16000 Engineering Acoustics;TTA;Physics/Astronomy;Aug 08;Title advertised in News;Monograph;Springer-Verlag New York;Available;13.03.2009;;<P>Introduction to Acoustics.- Structure of Musical Sounds.- Tonal Characteristics of Musical Instruments.- Directional Characteristics of Musical Instruments.- Foundations of Room Acoustics.- Acoustic Characteristics of Old and New Performance Spaces.- Seating Arrangement in the Concert Hall.- Acoustical Viewpoints for Number of Performers and Performance Technique.- Acoustic Problems in the Opera House.- Color Plates.- Appendix.- References.- Name- and Composition Index.- Topical Index.</P>;<P>This classic reference on musical acoustics and performance practice begins with a brief introduction to the fundamentals of acoustics and the generation of musical sounds. It then discusses the particulars of the sounds made by all the standard instruments in a modern orchestra as well as the human voice, the way in which the sounds made by these instruments are dispersed and how the room into which they are projected affects the sounds.</P>;<P>Universally understandable representations of acoustic processes in musical performances</P> <P>Broad representations of directional characteristics of musical instruments and the singing voice</P> <P>Interpretation of room acoustical conditions, with recommendations for adjustments by musicians (e.g. seating arrangement and performance technique)</P> <P>Representation of directional dependence of masking effects occurring at the ear of musicians while performing their own instruments</P>;9<HTLDTH=ajfbgf>;Science
X;978-1-4020-8989-3;Peshin;"Rajinder Peshin; Ashok K. Dhawan (Eds.)";Integrated Pest Management;Volume 2: Dissemination and Impact;;;2009;634;Hardcover;Book;XIV, 634 p.;;;final;189,95;203,25;208,95;173;315,5;;;;;;;English;Life Sciences;L25058 Invertebrates;PSVT;L24035 Plant Pathology;PSTP;Life Sciences;Sep 08;Title advertised in News;Contributed volume;Springer Netherlands;Available;13.03.2009;;Preface. 1. Diffusion of Innovation Theory and Integrated Pest Management. 2. Evaluation Research: Methodologies for Evaluation of IPM Programs. 3. Protocol for Economic Impact Evaluation of IPM Programs. 4. Economic Evaluation of Integrated Pest Management Programs. 5. Eliciting Farmer Knowledge, Attitudes, and Practices in the Development of Integrated Pest Management Programs for Rice in Asia. 6. Implementing Integrated Pest Management in Developing and Developed Countries. 7. Moving On: Farmer Education in Integrated Insect Pest and Disease Management. 8. Impact of IPM Extension for Smallholder Farmers in the Tropics. 9. Impact of IPM Programs in Asian Agriculture. 10. Evolutionary Revolution: Implementing and Disseminating IPM in Indonesia. 11. Principles and Methods of Rice Lepidopteroid Pest and its Enemy Management (PEM) Program in North Vietnam. 12. Challenges of Integrated Pest Management in Sub-Saharan Africa.13. Evaluating Dissemination and Impact of IPM: Lessons from Case Studies of Potato and Sweetpotato IPM in Peru and Other Latin American Countries. 14. Integrated Pest Management in Europe – History, Policy, Achievements and Implementation. 15. IPM Programs in Commonwealth of Independent States and Russia. 16. Dissemination and Impact of IPM Programs in US Agriculture. 17. Advances with Integrated Pest Management as a Component of Sustainable Agriculture: The Case of the Australian Cotton Industry. 18. Impact of IPM and Transgenics in the Chinese Agriculture. 19. Can Transgenic Crops and IPM Be Compatible? 20. Integrated Pest Management, Biofuels, and a New Green Revolution: A Case Study of the American Midwest. Index.;"<P>The IPM-innovation development process is incomplete without the diffusion and adoption of IPM methods by the end users, and through its consequences. The book covers the underlying concepts and methodologies of the diffusion of innovation theory and program evaluation; and reviews the progress and impact of IPM programs implemented in the industrialized, the green revolution and the subsistence agricultural systems of the world. The impact of IPM is discussed with an interdisciplinary perspective by experts from entomology, plant pathology, environmental science, agronomy, anthropology, economics and extension education from North America, South America, Europe, Australia, Africa and Asia. The book provides invaluable resource material to scientists, professionals, students, program planners and farmers.</P>";<P>Pest Management for graduate students and extension professionals</P> <P>Crop Protection, Technique in dissemination of Pest Management strategy- The chapters in book deal with Integrated Pest Management, implementation describing method and successful examples across the globe</P> <P>Details on Internet will help in dissemination of information about the detail content of book and help in promotion of book</P> <P>Updating knowledge of Pest Management, dissemination and impact across different crops and countries on IPM</P>;9<HTMELC=aijijd>;Science
